"Species_name","Note","X","X.1","X.2","X.3","X.4","X.5","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Acer japonicum Thunb."," in Murray"," Syst. Veg."," ed. 14: 911 (1784)","","","","","Acer japonicum Thunb.","Acer japonicum Thunb.","Acer japonicum","Acer japonicum","Thunb.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781349-1","Accepted",1,"accepted_or_direct"
"Acer negundo L."," Sp. Pl.: 1056 (1753)","","","","","","","Acer negundo L.","Acer negundo L.","Acer negundo","Acer negundo","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781412-1","Accepted",1,"accepted_or_direct"
"Acer palmatum Thunb."," Nova Acta Soc. Sc. Upsal. 4: 40 (1783)","","","","","","","Acer palmatum Thunb.","Acer palmatum Thunb.","Acer palmatum","Acer palmatum","Thunb.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:927504-1","Accepted",1,"accepted_or_direct"
"Acer platanoides L."," Sp. Pl.: 1055 (1753)","","","","","","","Acer platanoides L.","Acer platanoides L.","Acer platanoides","Acer platanoides","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781455-1","Accepted",1,"accepted_or_direct"
"Acer pseudoplatanus L."," Sp. Pl.: 1054 (1753)","","","","","","","Acer pseudoplatanus L.","Acer pseudoplatanus L.","Acer pseudoplatanus","Acer pseudoplatanus","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1","Accepted",1,"accepted_or_direct"
"Acer rubrum L."," Sp. Pl.: 1055 (1753)","","","","","","","Acer rubrum L.","Acer rubrum L.","Acer rubrum","Acer rubrum","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1867-2","Accepted",1,"accepted_or_direct"
"Acer saccharum Marshall"," Arbust. Amer.: 4 (1785)","","","","","","","Acer saccharum Marshall","Acer saccharum Marshall","Acer saccharum","Acer saccharum","Marshall","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:56795-1","Accepted",1,"accepted_or_direct"
"Achillea millefolium L."," Sp. Pl.: 899 (1753) subsp. millefolium","","","","","","","Achillea millefolium L.","Achillea millefolium L.","Achillea millefolium","Achillea millefolium","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2","Accepted",1,"accepted_or_direct"
"Aconitum napellus L. subsp. lusitanicum Rouy"," Naturaliste 6(51): 405 (1884)","","","","","","","Aconitum napellus L. subsp. lusitanicum Rouy","Aconitum napellus L. subsp. lusitanicum Rouy","Aconitum napellus subsp. lusitanicum","Aconitum napellus subsp. lusitanicum","Rouy","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77249878-1","Accepted",1,"accepted_or_direct"
"Aconitum napellus L. subsp. vulgare (DC.) Rouy & Foucaud"," Fl. France 1: 142 (1893)","","","","","","","Aconitum napellus L. subsp. vulgare (DC.) Rouy & Foucaud","Aconitum napellus L. subsp. vulgare (DC.) Rouy & Foucaud","Aconitum napellus subsp. vulgare","Aconitum x cammarum","L.","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2619210-4","Synonym",0.96374,"synonym_to_accepted"
"Aconitum vulparia Rchb. subsp. neapolitanum (Ten.) Mu," Anales Jard. Bot. Madrid 41(1): 212 (1984)","","","","","","","Aconitum vulparia Rchb. subsp. neapolitanum (Ten.) Mu�oz Garm. ex Molero & C.Blanch�","Aconitum vulparia Rchb. subsp. neapolitanum (Ten.) Mu�oz Garm. ex Molero & C.Blanch�","Aconitum vulparia subsp. neapolitanum","Aconitum lamarckii","Rchb. ex Spreng.","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:922891-1","Synonym",0.978,"synonym_to_accepted"
"Actaea spicata L."," Sp. Pl.: 504 (1753)","","","","","","","Actaea spicata L.","Actaea spicata L.","Actaea spicata","Actaea spicata","L.","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303913-2","Accepted",1,"accepted_or_direct"
"Actinidia arguta (Siebold & Zucc.) Planch. ex Miq."," Ann. Mus. Bot. Lugduno-Batavi 3: 15 (1867)","","","","","","","Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.","Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.","Actinidia arguta","Actinidia arguta","(Siebold & Zucc.) Planch. ex Miq.","Actinidiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316460-1","Accepted",1,"accepted_or_direct"
"Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson"," Guihaia 4(3): 181 (1984)","","","","","","","Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson","Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson","Actinidia deliciosa","Actinidia chinensis var. deliciosa","(A.Chev.) A.Chev.","Actinidiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:913605-1","Synonym",1,"synonym_to_accepted"
"Adenocarpus complicatus (L.) J.Gay"," Ann. Sci. Nat."," Bot."," ser. 2"," 6: 125 (1836)","","","","Adenocarpus complicatus (L.) J.Gay","Adenocarpus complicatus (L.) J.Gay","Adenocarpus complicatus","Adenocarpus complicatus","(L.) J.Gay","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:472191-1","Accepted",1,"accepted_or_direct"
"Adenocarpus lainzii (Castrov.) Castrov."," Anales Jard. Bot. Madrid 57(1): 44 (1999)","","","","","","","Adenocarpus lainzii (Castrov.) Castrov.","Adenocarpus lainzii (Castrov.) Castrov.","Adenocarpus lainzii","Adenocarpus complicatus subsp. lainzii","Castrov.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1008851-1","Synonym",1,"synonym_to_accepted"
"Adenostyles alliariae (Gouan) A.Kern. subsp. pyrenaica (Lange) P.Fourn."," Quatre Fl. Fr.: 994 (1940)","","","","","","","Adenostyles alliariae (Gouan) A.Kern. subsp. pyrenaica (Lange) P.Fourn.","Adenostyles alliariae (Gouan) A.Kern. subsp. pyrenaica (Lange) P.Fourn.","Adenostyles alliariae subsp. pyrenaica","Adenostyles alpina subsp. pyrenaica","(Lange) Dillenb. & Kadereit","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3247381-4","Synonym",1,"synonym_to_accepted"
"Adiantum capillus-veneris L."," Sp. Pl.: 1096 (1753)","","","","","","","Adiantum capillus-veneris L.","Adiantum capillus-veneris L.","Adiantum capillus-veneris","Adiantum capillus-veneris","L.","Pteridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325030-2","Accepted",0.9,"accepted_or_direct"
"Adonis pyrenaica DC."," in Lam. & DC."," Fl. Fran," ed. 3"," 5: 635 (1815)","","","","Adonis pyrenaica DC.","Adonis pyrenaica DC.","Adonis pyrenaica","Adonis pyrenaica","DC.","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708143-1","Accepted",1,"accepted_or_direct"
"Aeonium arboreum (L.) Webb & Berthel."," Phytogr. Can. 3(2.1): 185 (1840)","","","","","","","Aeonium arboreum (L.) Webb & Berthel.","Aeonium arboreum (L.) Webb & Berthel.","Aeonium arboreum","Aeonium arboreum","(L.) Webb & Berthel.","Crassulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:272194-1","Accepted",1,"accepted_or_direct"
"Aesculus ," Dendrol. Fl.: 43-44 (1822)","","","","","","","Aesculus �carnea Hayne","Aesculus �carnea Hayne","Aesculus","Aesculus","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:36263-1","Accepted",0.9,"accepted_or_direct"
"Aesculus hippocastanum L."," Sp. Pl.: 344 (1753)","","","","","","","Aesculus hippocastanum L.","Aesculus hippocastanum L.","Aesculus hippocastanum","Aesculus hippocastanum","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781594-1","Accepted",1,"accepted_or_direct"
"Aetheorhiza bulbosa (L.) Cass."," Dict. Sci. Nat. 48: 426 (1827)","","","","","","","Aetheorhiza bulbosa (L.) Cass.","Aetheorhiza bulbosa (L.) Cass.","Aetheorhiza bulbosa","Sonchus bulbosus","(L.) N.Kilian & Greuter","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:175131-1","Synonym",1,"synonym_to_accepted"
"Aethionema saxatile (L.) R.Br. subsp. saxatile"," in W.T.Aiton"," Hort. Kew."," ed. 2"," 4: 80 (1812)","","","","Aethionema saxatile (L.) R.Br. subsp. saxatile","Aethionema saxatile (L.) R.Br. subsp. saxatile","Aethionema saxatile subsp. saxatile","Aethionema saxatile subsp. saxatile","","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77227768-1","Accepted",1,"accepted_or_direct"
"Aethionema saxatile (L.) R.Br. subsp. ovalifolium (DC.) Nyman"," Consp. Fl. Eur.: 63 (1878)","","","","","","","Aethionema saxatile (L.) R.Br. subsp. ovalifolium (DC.) Nyman","Aethionema saxatile (L.) R.Br. subsp. ovalifolium (DC.) Nyman","Aethionema saxatile subsp. ovalifolium","Aethionema saxatile subsp. ovalifolium","(DC.) Nyman","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60460980-2","Accepted",1,"accepted_or_direct"
"Aethusa cynapium L. subsp. cynapium"," Sp. Pl.: 256 (1753)","","","","","","","Aethusa cynapium L. subsp. cynapium","Aethusa cynapium L. subsp. cynapium","Aethusa cynapium subsp. cynapium","Aethusa cynapium subsp. cynapium","","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77227222-1","Accepted",1,"accepted_or_direct"
"Agapanthus africanus (L.) Hoffmanns."," Verz. Pfl.-Kult.: 35 (1824)","","","","","","","Agapanthus africanus (L.) Hoffmanns.","Agapanthus africanus (L.) Hoffmanns.","Agapanthus africanus","Agapanthus africanus","(L.) Hoffmanns.","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:527258-1","Accepted",1,"accepted_or_direct"
"Agave americana L."," Sp. Pl.: 323 (1753)","","","","","","","Agave americana L.","Agave americana L.","Agave americana","Agave americana","L.","Asparagaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319063-2","Accepted",1,"accepted_or_direct"
"Agrimonia eupatoria L."," Sp. Pl.: 448 (1753)","","","","","","","Agrimonia eupatoria L.","Agrimonia eupatoria L.","Agrimonia eupatoria","Agrimonia eupatoria","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316550-2","Accepted",1,"accepted_or_direct"
"Agrimonia procera Wallr."," Erst. Beitr. Fl. Hercyn.: 203 (1840)","","","","","","","Agrimonia procera Wallr.","Agrimonia procera Wallr.","Agrimonia procera","Agrimonia procera","Wallr.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720304-1","Accepted",1,"accepted_or_direct"
"Agrostemma githago L."," Sp. Pl.: 435 (1753)","","","","","","","Agrostemma githago L.","Agrostemma githago L.","Agrostemma githago","Agrostemma githago","L.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:150316-1","Accepted",1,"accepted_or_direct"
"Agrostis capillaris L."," Sp. Pl.: 62 (1753)","","","","","","","Agrostis capillaris L.","Agrostis capillaris L.","Agrostis capillaris","Agrostis capillaris","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2","Accepted",1,"accepted_or_direct"
"Agrostis castellana Boiss. & Reut."," Diagn. Pl. Nov. Hisp.: 26 (1842)","","","","","","","Agrostis castellana Boiss. & Reut.","Agrostis castellana Boiss. & Reut.","Agrostis castellana","Agrostis castellana","Boiss. & Reut.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:271894-2","Accepted",1,"accepted_or_direct"
"Agrostis curtisii Kergu," Bull. Soc. Bot. France 123 (5-6): 318 (1976)","","","","","","","Agrostis curtisii Kergu�len","Agrostis curtisii Kergu�len","Agrostis curtisii","Alpagrostis setacea","(Poir.) P.M.Peterson, Romasch., Soreng & Sylvester","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385626-1","Synonym",0.95516,"synonym_to_accepted"
"Agrostis ," Quatre Fl. Fr.: 49 (1934)","","","","","","","Agrostis �fouilladei P.Fourn.","Agrostis �fouilladei P.Fourn.","Agrostis","Agrostis","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325863-2","Accepted",0.9,"accepted_or_direct"
"Agrostis hesperica Romero Garc," Blanca & C.Morales"," Anales Jard. Bot. Madrid 43(1): 52 (1986)","","","","","","Agrostis hesperica Romero Garc�a","Agrostis hesperica Romero Garc�a","Agrostis hesperica","Agrostis hesperica","Romero García, Blanca, G.López & C.Morales","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:931020-1","Accepted",0.87376,"accepted_or_direct"
"Agrostis ," Bull. Soc. Bot. France 79: 799 (1932)","","","","","","","Agrostis �murbeckii Fouill.","Agrostis �murbeckii Fouill.","Agrostis","Agrostis","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325863-2","Accepted",0.9,"accepted_or_direct"
"Agrostis schleicheri Jord. & Verl."," in F.W.Schultz"," Arch. Fl. Fr. Allem.: 347 (1855)","","","","","","Agrostis schleicheri Jord. & Verl.","Agrostis schleicheri Jord. & Verl.","Agrostis schleicheri","Alpagrostis schleicheri","(Jord. & Verl.) P.M.Peterson, Romasch., Soreng & Sylvester","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386282-1","Synonym",1,"synonym_to_accepted"
"Agrostis stolonifera L."," Sp. Pl.: 62 (1753)","","","","","","","Agrostis stolonifera L.","Agrostis stolonifera L.","Agrostis stolonifera","Agrostis stolonifera","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386353-1","Accepted",1,"accepted_or_direct"
"Agrostis tileni Nieto Fel. & Castrov."," Anales Jard. Bot. Madrid 40(2): 472 (1984) ","","","","","","","Agrostis tileni Nieto Fel. & Castrov.","Agrostis tileni Nieto Fel. & Castrov.","Agrostis tileni","Agrostis tileni","G.Nieto Fel. & Castrov.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:907622-1","Accepted",0.9847,"accepted_or_direct"
"Ailanthus altissima (Mill.) Swingle"," J. Washington Acad. Sci. 6(14): 495 (1916)","","","","","","","Ailanthus altissima (Mill.) Swingle","Ailanthus altissima (Mill.) Swingle","Ailanthus altissima","Ailanthus altissima","(Mill.) Swingle","Simaroubaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813521-1","Accepted",1,"accepted_or_direct"
"Aira caryophyllea L."," Sp. Pl.: 66 (1753) subsp. caryophyllea","","","","","","","Aira caryophyllea L.","Aira caryophyllea L.","Aira caryophyllea","Aira caryophyllea","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386633-1","Accepted",1,"accepted_or_direct"
"Aira caryophyllea L. subsp. plesiantha (Jord. ex Boreau) K.Richt."," Pl. Eur. 1: 53 (1890)","","","","","","","Aira caryophyllea L. subsp. plesiantha (Jord. ex Boreau) K.Richt.","Aira caryophyllea L. subsp. plesiantha (Jord. ex Boreau) K.Richt.","Aira caryophyllea subsp. plesiantha","Aira multiculmis","Dumort.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77259384-1","Synonym",1,"synonym_to_accepted"
"Aira praecox L."," Sp. Pl.: 65 (1753) (nom. cons.)","","","","","","","Aira praecox L.","Aira praecox L.","Aira praecox","Aira praecox","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386818-1","Accepted",1,"accepted_or_direct"
"Ajuga chamaepitys (L.) Schreb."," Pl. Vert. Unilab.: 24 (1773)","","","","","","","Ajuga chamaepitys (L.) Schreb.","Ajuga chamaepitys (L.) Schreb.","Ajuga chamaepitys","Ajuga chamaepitys","(L.) Schreb.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444546-1","Accepted",1,"accepted_or_direct"
"Ajuga pyramidalis L."," Sp. Pl. 561 (1753) subsp. pyramidalis","","","","","","","Ajuga pyramidalis L.","Ajuga pyramidalis L.","Ajuga pyramidalis","Ajuga pyramidalis","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444657-1","Accepted",1,"accepted_or_direct"
"Ajuga reptans L."," Sp. Pl.: 561 (1753)","","","","","","","Ajuga reptans L.","Ajuga reptans L.","Ajuga reptans","Ajuga reptans","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444664-1","Accepted",1,"accepted_or_direct"
"Albizia julibrissin Durazz."," Mag. Tosc. 3(4): 11 (1772)","","","","","","","Albizia julibrissin Durazz.","Albizia julibrissin Durazz.","Albizia julibrissin","Albizia julibrissin","Durazz.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:473275-1","Accepted",1,"accepted_or_direct"
"Alcea biennis subsp. biennis Winterl"," Ind. Hort. Univ. Hung. Pest: 3 (1788)","","","","","","","Alcea biennis subsp. biennis Winterl","Alcea biennis subsp. biennis Winterl","Alcea biennis","Alcea biennis","Winterl","Malvaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:558650-1","Accepted",0.59957384396743,"unresolved_low_score"
"Alcea rosea L."," Sp. Pl.: 687 (1753)","","","","","","","Alcea rosea L.","Alcea rosea L.","Alcea rosea","Alcea rosea","L.","Malvaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:558713-1","Accepted",1,"accepted_or_direct"
"Alchemilla alpina L."," Sp. Pl.: 123 (1753)","","","","","","","Alchemilla alpina L.","Alchemilla alpina L.","Alchemilla alpina","Alchemilla alpina","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720359-1","Accepted",1,"accepted_or_direct"
"Alchemilla alpigena Buser ex Hegi"," Bull. Herb. Boissier"," ser. 2"," 1(7): 716-718 (1901)","","","","","Alchemilla alpigena Buser ex Hegi","Alchemilla alpigena Buser ex Hegi","Alchemilla alpigena","Alchemilla alpigena","Buser","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720358-1","Accepted",0.91636,"accepted_or_direct"
"Alchemilla burgensis S.E.Fr," Anales Jard. Bot. Madrid 53(1): 24 (1995)","","","","","","","Alchemilla burgensis S.E.Fr�hner","Alchemilla burgensis S.E.Fr�hner","Alchemilla burgensis","Alchemilla burgensis","S.E.Fröhner","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:985833-1","Accepted",0.96762,"accepted_or_direct"
"Alchemilla connivens Buser"," Bull. Herb. Boissier 2: 107 (1894)","","","","","","","Alchemilla connivens Buser","Alchemilla connivens Buser","Alchemilla connivens","Alchemilla connivens","Buser","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721109-1","Accepted",1,"accepted_or_direct"
"Alchemilla coriacea Buser"," Not. Alchim.: 19 (1891)","","","","","","","Alchemilla coriacea Buser","Alchemilla coriacea Buser","Alchemilla coriacea","Alchemilla coriacea","Buser","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721110-1","Accepted",1,"accepted_or_direct"
"Alchemilla effusa Buser"," Alchim. Valais.: 24 (1894)","","","","","","","Alchemilla effusa Buser","Alchemilla effusa Buser","Alchemilla effusa","Alchemilla effusa","Buser","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721115-1","Accepted",1,"accepted_or_direct"
"Alchemilla fallax Buser"," Ber. Schweiz. Bot. Ges. 4: 65 (1894)","","","","","","","Alchemilla fallax Buser","Alchemilla fallax Buser","Alchemilla fallax","Alchemilla fallax","Buser","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721116-1","Accepted",1,"accepted_or_direct"
"Alchemilla filicaulis Buser"," Bull. Herb. Boissier 1"," app. 2: 6"," 22-23 (1893)","","","","","Alchemilla filicaulis Buser","Alchemilla filicaulis Buser","Alchemilla filicaulis","Alchemilla filicaulis","Buser","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:8074-2","Accepted",1,"accepted_or_direct"
"Alchemilla fulgida S.E.Fr," Feddes Repert. 92(1-2): 6-8 (1981) ","","","","","","","Alchemilla fulgida S.E.Fr�hner","Alchemilla fulgida S.E.Fr�hner","Alchemilla fulgida","Alchemilla fulgida","S.E.Fröhner","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:896869-1","Accepted",0.96762,"accepted_or_direct"
"Alchemilla glabra Neygenf."," Ench. Bot.: 67 (1821)","","","","","","","Alchemilla glabra Neygenf.","Alchemilla glabra Neygenf.","Alchemilla glabra","Alchemilla glabra","Neygenf.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720597-1","Accepted",1,"accepted_or_direct"
"Alchemilla glaucescens Wallr."," Linnaea 14: 134"," 549 (1840)","","","","","","Alchemilla glaucescens Wallr.","Alchemilla glaucescens Wallr.","Alchemilla glaucescens","Alchemilla glaucescens","Wallr.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720605-1","Accepted",1,"accepted_or_direct"
"Alchemilla hispanica S.E.Fr," Feddes Repert. 92(1-2): 10-11 (1981)","","","","","","","Alchemilla hispanica S.E.Fr�hner","Alchemilla hispanica S.E.Fr�hner","Alchemilla hispanica","Alchemilla hispanica","S.E.Fröhner","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:896871-1","Accepted",0.96762,"accepted_or_direct"
